filenames,TSS_brix,Firmness,Titerabile acid percentage,Volume
55l.jpg,0.5882,0.3857,0.5312,0.4138
55m.jpg,0.5882,0.3857,0.5312,0.4138
47a.jpg,0.8235,0.7429,0.1875,0.6034
47b.jpg,0.8235,0.7429,0.1875,0.6034
47d.jpg,0.8235,0.7429,0.1875,0.6034
47g.jpg,0.8235,0.7429,0.1875,0.6034
47n.jpg,0.8235,0.7429,0.1875,0.6034
47r.jpg,0.8235,0.7429,0.1875,0.6034
47v.jpg,0.8235,0.7429,0.1875,0.6034
47z.jpg,0.8235,0.7429,0.1875,0.6034
32a.jpg,0.7059,0.8286,1.0,0.6207
32b.jpg,0.7059,0.8286,1.0,0.6207
32c.jpg,0.7059,0.8286,1.0,0.6207
32d.jpg,0.7059,0.8286,1.0,0.6207
32e.jpg,0.7059,0.8286,1.0,0.6207
32f.jpg,0.7059,0.8286,1.0,0.6207
32g.jpg,0.7059,0.8286,1.0,0.6207
32h.jpg,0.7059,0.8286,1.0,0.6207
32k.jpg,0.7059,0.8286,1.0,0.6207
32o.jpg,0.7059,0.8286,1.0,0.6207
32r.jpg,0.7059,0.8286,1.0,0.6207
29a.jpg,0.2353,0.6429,0.3125,0.3103
29b.jpg,0.2353,0.6429,0.3125,0.3103
29c.jpg,0.2353,0.6429,0.3125,0.3103
29d.jpg,0.2353,0.6429,0.3125,0.3103
29e.jpg,0.2353,0.6429,0.3125,0.3103
29f.jpg,0.2353,0.6429,0.3125,0.3103
29g.jpg,0.2353,0.6429,0.3125,0.3103
29h.jpg,0.2353,0.6429,0.3125,0.3103
29i.jpg,0.2353,0.6429,0.3125,0.3103
29j.jpg,0.2353,0.6429,0.3125,0.3103
25a.jpg,0.8235,0.8143,0.4375,0.1724
25b.jpg,0.8235,0.8143,0.4375,0.1724
25c.jpg,0.8235,0.8143,0.4375,0.1724
25d.jpg,0.8235,0.8143,0.4375,0.1724
25e.jpg,0.8235,0.8143,0.4375,0.1724
25f.jpg,0.8235,0.8143,0.4375,0.1724
25g.jpg,0.8235,0.8143,0.4375,0.1724
25h.jpg,0.8235,0.8143,0.4375,0.1724
25i.jpg,0.8235,0.8143,0.4375,0.1724
20a.jpg,0.3529,0.5714,0.1875,0.2069
20b.jpg,0.3529,0.5714,0.1875,0.2069
20c.jpg,0.3529,0.5714,0.1875,0.2069
20d.jpg,0.3529,0.5714,0.1875,0.2069
20e.jpg,0.3529,0.5714,0.1875,0.2069
20f.jpg,0.3529,0.5714,0.1875,0.2069
20g.jpg,0.3529,0.5714,0.1875,0.2069
20h.jpg,0.3529,0.5714,0.1875,0.2069
20k.jpg,0.3529,0.5714,0.1875,0.2069
20m.jpg,0.3529,0.5714,0.1875,0.2069
20n.jpg,0.3529,0.5714,0.1875,0.2069
191a.jpg,0.1176,0.5286,0.4375,0.4828
191b.jpg,0.1176,0.5286,0.4375,0.4828
191c.jpg,0.1176,0.5286,0.4375,0.4828
191d.jpg,0.1176,0.5286,0.4375,0.4828
191e.jpg,0.1176,0.5286,0.4375,0.4828
191f.jpg,0.1176,0.5286,0.4375,0.4828
191g.jpg,0.1176,0.5286,0.4375,0.4828
191h.jpg,0.1176,0.5286,0.4375,0.4828
191m.jpg,0.1176,0.5286,0.4375,0.4828
191n.jpg,0.1176,0.5286,0.4375,0.4828
187a.jpg,0.1176,0.7571,0.4062,0.4138
187b.jpg,0.1176,0.7571,0.4062,0.4138
187c.jpg,0.1176,0.7571,0.4062,0.4138
187d.jpg,0.1176,0.7571,0.4062,0.4138
187e.jpg,0.1176,0.7571,0.4062,0.4138
187f.jpg,0.1176,0.7571,0.4062,0.4138
187g.jpg,0.1176,0.7571,0.4062,0.4138
187h.jpg,0.1176,0.7571,0.4062,0.4138
175a.jpg,0.3529,0.5571,0.4062,0.3793
175b.jpg,0.3529,0.5571,0.4062,0.3793
175c.jpg,0.3529,0.5571,0.4062,0.3793
175d.jpg,0.3529,0.5571,0.4062,0.3793
175e.jpg,0.3529,0.5571,0.4062,0.3793
175f.jpg,0.3529,0.5571,0.4062,0.3793
175g.jpg,0.3529,0.5571,0.4062,0.3793
175h.jpg,0.3529,0.5571,0.4062,0.3793
175k.jpg,0.3529,0.5571,0.4062,0.3793
175m.jpg,0.3529,0.5571,0.4062,0.3793
15a.jpg,0.4706,0.5857,0.4375,0.5172
15b.jpg,0.4706,0.5857,0.4375,0.5172
15c.jpg,0.4706,0.5857,0.4375,0.5172
15d.jpg,0.4706,0.5857,0.4375,0.5172
15e.jpg,0.4706,0.5857,0.4375,0.5172
15f.jpg,0.4706,0.5857,0.4375,0.5172
15g.jpg,0.4706,0.5857,0.4375,0.5172
15h.jpg,0.4706,0.5857,0.4375,0.5172
138a.jpg,0.3529,0.8,0.4375,0.1379
138b.jpg,0.3529,0.8,0.4375,0.1379
138c.jpg,0.3529,0.8,0.4375,0.1379
138d.jpg,0.3529,0.8,0.4375,0.1379
138e.jpg,0.3529,0.8,0.4375,0.1379
138f.jpg,0.3529,0.8,0.4375,0.1379
138g.jpg,0.3529,0.8,0.4375,0.1379
138m.jpg,0.3529,0.8,0.4375,0.1379
138n.jpg,0.3529,0.8,0.4375,0.1379
139a.jpg,0.2353,0.9,0.3125,0.1379
139b.jpg,0.2353,0.9,0.3125,0.1379
139c.jpg,0.2353,0.9,0.3125,0.1379
139d.jpg,0.2353,0.9,0.3125,0.1379
139e.jpg,0.2353,0.9,0.3125,0.1379
139f.jpg,0.2353,0.9,0.3125,0.1379
139g.jpg,0.2353,0.9,0.3125,0.1379
139h.jpg,0.2353,0.9,0.3125,0.1379
139m.jpg,0.2353,0.9,0.3125,0.1379
139n.jpg,0.2353,0.9,0.3125,0.1379
139v.jpg,0.2353,0.9,0.3125,0.1379
100b.jpg,0.5882,0.6429,0.2812,0.1379
100c.jpg,0.5882,0.6429,0.2812,0.1379
100d.jpg,0.5882,0.6429,0.2812,0.1379
100e.jpg,0.5882,0.6429,0.2812,0.1379
100f.jpg,0.5882,0.6429,0.2812,0.1379
100g.jpg,0.5882,0.6429,0.2812,0.1379
100h.jpg,0.5882,0.6429,0.2812,0.1379
100k.jpg,0.5882,0.6429,0.2812,0.1379
100m.jpg,0.5882,0.6429,0.2812,0.1379
100n.jpg,0.5882,0.6429,0.2812,0.1379
101a.jpg,0.2353,0.5286,0.4688,0.1724
101b.jpg,0.2353,0.5286,0.4688,0.1724
101c.jpg,0.2353,0.5286,0.4688,0.1724
101d.jpg,0.2353,0.5286,0.4688,0.1724
101e.jpg,0.2353,0.5286,0.4688,0.1724
101f.jpg,0.2353,0.5286,0.4688,0.1724
101g.jpg,0.2353,0.5286,0.4688,0.1724
101h.jpg,0.2353,0.5286,0.4688,0.1724
101ja.jpg,0.2353,0.5286,0.4688,0.1724
101m.jpg,0.2353,0.5286,0.4688,0.1724
101n.jpg,0.2353,0.5286,0.4688,0.1724
102a.jpg,0.2353,0.6,0.4375,0.2759
102b.jpg,0.2353,0.6,0.4375,0.2759
102bm.jpg,0.2353,0.6,0.4375,0.2759
102c.jpg,0.2353,0.6,0.4375,0.2759
102d.jpg,0.2353,0.6,0.4375,0.2759
102e.jpg,0.2353,0.6,0.4375,0.2759
102f.jpg,0.2353,0.6,0.4375,0.2759
102g.jpg,0.2353,0.6,0.4375,0.2759
102h.jpg,0.2353,0.6,0.4375,0.2759
102k.jpg,0.2353,0.6,0.4375,0.2759
102m.jpg,0.2353,0.6,0.4375,0.2759
102n.jpg,0.2353,0.6,0.4375,0.2759
103a.jpg,0.2353,0.5286,0.5625,0.3103
103b.jpg,0.2353,0.5286,0.5625,0.3103
103c.jpg,0.2353,0.5286,0.5625,0.3103
103e.jpg,0.2353,0.5286,0.5625,0.3103
103f.jpg,0.2353,0.5286,0.5625,0.3103
103g.jpg,0.2353,0.5286,0.5625,0.3103
103k.jpg,0.2353,0.5286,0.5625,0.3103
103m.jpg,0.2353,0.5286,0.5625,0.3103
104a.jpg,0.3529,0.6286,0.0625,0.4828
104b.jpg,0.3529,0.6286,0.0625,0.4828
104c.jpg,0.3529,0.6286,0.0625,0.4828
104d.jpg,0.3529,0.6286,0.0625,0.4828
104e.jpg,0.3529,0.6286,0.0625,0.4828
104f.jpg,0.3529,0.6286,0.0625,0.4828
104g.jpg,0.3529,0.6286,0.0625,0.4828
104h.jpg,0.3529,0.6286,0.0625,0.4828
104j.jpg,0.3529,0.6286,0.0625,0.4828
104k.jpg,0.3529,0.6286,0.0625,0.4828
104m.jpg,0.3529,0.6286,0.0625,0.4828
105a.jpg,0.4706,0.3571,0.5312,0.3448
105b.jpg,0.4706,0.3571,0.5312,0.3448
105c.jpg,0.4706,0.3571,0.5312,0.3448
105d.jpg,0.4706,0.3571,0.5312,0.3448
105e.jpg,0.4706,0.3571,0.5312,0.3448
105f.jpg,0.4706,0.3571,0.5312,0.3448
105g.jpg,0.4706,0.3571,0.5312,0.3448
105h.jpg,0.4706,0.3571,0.5312,0.3448
105j.jpg,0.4706,0.3571,0.5312,0.3448
105k.jpg,0.4706,0.3571,0.5312,0.3448
106a.jpg,0.3529,0.7857,0.375,0.2759
106b.jpg,0.3529,0.7857,0.375,0.2759
106c.jpg,0.3529,0.7857,0.375,0.2759
106d.jpg,0.3529,0.7857,0.375,0.2759
106e.jpg,0.3529,0.7857,0.375,0.2759
106f.jpg,0.3529,0.7857,0.375,0.2759
106h.jpg,0.3529,0.7857,0.375,0.2759
106k.jpg,0.3529,0.7857,0.375,0.2759
106l.jpg,0.3529,0.7857,0.375,0.2759
106lo.jpg,0.3529,0.7857,0.375,0.2759
106m.jpg,0.3529,0.7857,0.375,0.2759
106n.jpg,0.3529,0.7857,0.375,0.2759
107a.jpg,0.4706,0.9286,0.3438,0.3448
107b.jpg,0.4706,0.9286,0.3438,0.3448
107c.jpg,0.4706,0.9286,0.3438,0.3448
107d.jpg,0.4706,0.9286,0.3438,0.3448
107e.jpg,0.4706,0.9286,0.3438,0.3448
107f.jpg,0.4706,0.9286,0.3438,0.3448
107g.jpg,0.4706,0.9286,0.3438,0.3448
107h.jpg,0.4706,0.9286,0.3438,0.3448
107j.jpg,0.4706,0.9286,0.3438,0.3448
107m.jpg,0.4706,0.9286,0.3438,0.3448
107n.jpg,0.4706,0.9286,0.3438,0.3448
108a.jpg,0.7059,0.9286,0.4062,0.3448
108b.jpg,0.7059,0.9286,0.4062,0.3448
108c.jpg,0.7059,0.9286,0.4062,0.3448
108d.jpg,0.7059,0.9286,0.4062,0.3448
108e.jpg,0.7059,0.9286,0.4062,0.3448
108f.jpg,0.7059,0.9286,0.4062,0.3448
108g.jpg,0.7059,0.9286,0.4062,0.3448
108h.jpg,0.7059,0.9286,0.4062,0.3448
108m.jpg,0.7059,0.9286,0.4062,0.3448
108n.jpg,0.7059,0.9286,0.4062,0.3448
109a.jpg,0.7059,0.2857,0.375,0.2759
109b.jpg,0.7059,0.2857,0.375,0.2759
109c.jpg,0.7059,0.2857,0.375,0.2759
109d.jpg,0.7059,0.2857,0.375,0.2759
109i.jpg,0.7059,0.2857,0.375,0.2759
109k.jpg,0.7059,0.2857,0.375,0.2759
109l.jpg,0.7059,0.2857,0.375,0.2759
109m.jpg,0.7059,0.2857,0.375,0.2759
109n.jpg,0.7059,0.2857,0.375,0.2759
